subject_id	n_scans	n_rois	n_confounds	mean_correlation	mean_absolute_correlation	timeseries_mean	timeseries_sd
0010042	176	100	13	0.18138220	0.22621792	-0.00000001	0.99718338
0010064	176	100	13	0.11404079	0.21560701	0.00000000	0.99718338
0010128	176	100	13	0.15266318	0.25408825	-0.00000001	0.99718338
0021019	175	100	13	0.23481329	0.25623457	-0.00000000	0.99716723
0023008	77	100	13	0.13833928	0.26790007	0.00000000	0.99354976
0023012	77	100	13	0.15791477	0.30682623	0.00000000	0.99354976
0027011	261	100	13	0.42102682	0.42189236	0.00000000	0.99810159
0027018	260	100	13	0.42811391	0.42909351	0.00000001	0.99809426
0027034	260	100	13	0.19977050	0.24109522	0.00000000	0.99809426
0027037	261	100	13	0.28592979	0.29529287	-0.00000000	0.99810159
