node	label	network	degree	strength	betweenness	weighted_clustering	eigenvector_centrality	community	hub_score	hub_rank
40	LH_Default_Par_2	Default	29	15.05375923	0.04267161	0.26105753	0.18701668	1	2.37041592	1
37	LH_Default_Temp_1	Default	26	13.28659029	0.04308390	0.29347782	0.16679281	1	1.98741909	2
49	LH_Default_pCunPCC_2	Default	25	13.42953476	0.03050917	0.32451274	0.18766692	1	1.80424108	3
88	RH_Cont_pCun_1	Cont	22	11.16051330	0.04700062	0.25455912	0.16559102	1	1.68802598	4
66	RH_DorsAttn_Post_1	DorsAttn	24	10.90472012	0.04432076	0.19084933	0.14312123	3	1.59779740	5
58	RH_SomMot_1	SomMot	24	12.42553911	0.04823748	0.30094840	0.09437117	2	1.57146535	6
14	LH_SomMot_6	SomMot	22	10.60991174	0.05442177	0.22040824	0.09681109	2	1.45524009	7
48	LH_Default_pCunPCC_1	Default	23	11.48708681	0.03112760	0.25021618	0.16452105	1	1.44289934	8
55	RH_Vis_6	Vis	19	10.69245477	0.02453102	0.41078715	0.17974424	3	1.12940534	9
11	LH_SomMot_3	SomMot	22	12.27649767	0.03339518	0.35841707	0.08559312	2	1.12784352	10
51	RH_Vis_2	Vis	20	11.60851681	0.01649145	0.42624164	0.17861655	3	1.09047811	11
99	RH_Default_pCunPCC_2	Default	21	11.68683490	0.01607916	0.35549632	0.16721793	1	1.08082421	12
1	LH_Vis_2	Vis	20	10.92228286	0.01978973	0.41281067	0.17348509	3	1.07177588	13
15	LH_DorsAttn_Post_1	DorsAttn	19	9.19583349	0.04493919	0.22947961	0.10513780	3	1.04439123	14
8	LH_Vis_9	Vis	19	10.94411165	0.01257473	0.43865597	0.18396939	3	0.93428308	15
9	LH_SomMot_1	SomMot	23	12.26011773	0.01875902	0.32681634	0.08954941	2	0.90189316	16
7	LH_Vis_8	Vis	20	11.57070472	0.00474129	0.44914667	0.18490144	3	0.88436183	17
90	RH_Default_Temp_1	Default	22	10.99603491	0.01030715	0.32325207	0.13942270	1	0.81899787	18
95	RH_Default_PFCdPFCm_1	Default	21	10.82074468	0.00659658	0.33443202	0.14878770	1	0.72860029	19
91	RH_Default_Temp_2	Default	22	10.01925878	0.01360544	0.25098305	0.12078033	1	0.70985520	20
56	RH_Vis_7	Vis	18	10.33702049	0.01071944	0.47728444	0.16333994	3	0.69837525	21
5	LH_Vis_6	Vis	17	10.00885402	0.01030715	0.47650984	0.17464531	3	0.66959776	22
96	RH_Default_PFCdPFCm_2	Default	19	9.90934185	0.01669759	0.34096370	0.12851285	1	0.65854582	23
65	RH_SomMot_8	SomMot	22	10.43889187	0.01690373	0.26542361	0.08854142	2	0.65579405	24
81	RH_Cont_Par_2	Cont	18	9.66966493	0.01669759	0.37178732	0.13475595	1	0.62113790	25
98	RH_Default_pCunPCC_1	Default	18	9.44864790	0.01628530	0.30365708	0.13847536	1	0.61181279	26
45	LH_Default_PFC_5	Default	19	10.38485089	0.00968872	0.38440831	0.13482435	1	0.59107272	27
19	LH_DorsAttn_Post_5	DorsAttn	17	7.95382625	0.03009689	0.23297353	0.09628236	1	0.50584434	28
2	LH_Vis_3	Vis	17	10.10652616	0.00000000	0.51233466	0.17046143	3	0.45324195	29
6	LH_Vis_7	Vis	16	7.56556643	0.02391260	0.35946090	0.12282289	3	0.43094260	30
92	RH_Default_Temp_3	Default	17	8.40596343	0.02473717	0.27123343	0.08736507	1	0.39547294	31
38	LH_Default_Temp_2	Default	20	9.55823365	0.00556586	0.29150543	0.11541286	1	0.39075366	32
76	RH_SalVentAttn_Med_1	SalVentAttn	17	7.78578177	0.02082045	0.26086543	0.11071726	3	0.37695529	33
17	LH_DorsAttn_Post_3	DorsAttn	17	8.63811752	0.02329417	0.26283241	0.08494527	3	0.37521850	34
39	LH_Default_Par_1	Default	16	7.59472954	0.02927231	0.24130412	0.08379690	2	0.35121301	35
57	RH_Vis_8	Vis	15	9.50749158	0.00082457	0.61971628	0.16965509	3	0.32018868	36
30	LH_Limbic_OFC_1	Limbic	17	8.01606611	0.01793445	0.30271798	0.09965030	1	0.28610085	37
43	LH_Default_PFC_3	Default	17	8.80009652	0.00515358	0.39331378	0.12522276	1	0.22385086	38
77	RH_SalVentAttn_Med_2	SalVentAttn	16	8.04330142	0.02844774	0.26328188	0.04858555	2	0.20345489	39
74	RH_SalVentAttn_TempOccPar_2	SalVentAttn	16	8.50020530	0.02556174	0.34219807	0.05115700	2	0.19812734	40
60	RH_SomMot_3	SomMot	19	10.49050954	0.00350443	0.44038370	0.07241243	2	0.17579079	41
4	LH_Vis_5	Vis	15	8.40790149	0.00288600	0.52749125	0.14724974	3	0.15768301	42
69	RH_DorsAttn_Post_4	DorsAttn	15	7.36110569	0.02391260	0.24440357	0.07699415	3	0.14488778	43
85	RH_Cont_PFCl_4	Cont	15	7.02645805	0.03071532	0.16667427	0.05419565	1	0.14076378	44
70	RH_DorsAttn_Post_5	DorsAttn	16	7.64589712	0.02288188	0.20687343	0.06124702	2	0.11980182	45
62	RH_SomMot_5	SomMot	16	7.88386182	0.01958359	0.38761557	0.06932800	2	0.11398161	46
32	LH_Limbic_TempPole_2	Limbic	15	7.54216240	0.01649145	0.35281551	0.09423392	1	0.09658139	47
44	LH_Default_PFC_4	Default	16	7.72597600	0.00845187	0.33632169	0.09359366	1	-0.00333568	48
42	LH_Default_PFC_2	Default	16	7.57681646	0.01257473	0.28766724	0.07800251	1	-0.00976743	49
97	RH_Default_PFCdPFCm_3	Default	15	7.63946702	0.00309215	0.39260142	0.10875260	1	-0.09078059	50
