node	label	network	degree	strength	betweenness	weighted_clustering	eigenvector_centrality	community	hub_score	hub_rank
40	LH_Default_Par_2	Default	29	15.05375923	0.04267161	0.26105753	0.18701668	1	2.37041592	1
37	LH_Default_Temp_1	Default	26	13.28659029	0.04308390	0.29347782	0.16679281	1	1.98741909	2
49	LH_Default_pCunPCC_2	Default	25	13.42953476	0.03050917	0.32451274	0.18766692	1	1.80424108	3
88	RH_Cont_pCun_1	Cont	22	11.16051330	0.04700062	0.25455912	0.16559102	1	1.68802598	4
66	RH_DorsAttn_Post_1	DorsAttn	24	10.90472012	0.04432076	0.19084933	0.14312123	3	1.59779740	5
58	RH_SomMot_1	SomMot	24	12.42553911	0.04823748	0.30094840	0.09437117	2	1.57146535	6
14	LH_SomMot_6	SomMot	22	10.60991174	0.05442177	0.22040824	0.09681109	2	1.45524009	7
48	LH_Default_pCunPCC_1	Default	23	11.48708681	0.03112760	0.25021618	0.16452105	1	1.44289934	8
55	RH_Vis_6	Vis	19	10.69245477	0.02453102	0.41078715	0.17974424	3	1.12940534	9
11	LH_SomMot_3	SomMot	22	12.27649767	0.03339518	0.35841707	0.08559312	2	1.12784352	10
